"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Edwin Encarnacion","Blue Jays","132","559","488","132","27","1","30","76","97","64","79","4","6","1",".270",".358",".514",".872",".378","-3.0","0.3","3.4","2151"
"David Ortiz","Red Sox","126","537","466","129","27","1","29","59","88","64","88","2","1","0",".277",".363",".526",".889",".375","0.0","-0.2","2.9","745"
"Adam Lind","Brewers","121","447","402","117","22","2","15","51","62","41","79","1","1","0",".291",".356",".468",".823",".360","-2.0","-0.2","1.8","8027"
"Victor Martinez","Tigers","126","530","478","145","27","0","18","58","79","44","46","2","1","1",".303",".360",".473",".833",".357","0.0","-0.7","2.1","393"
"Albert Pujols","Angels","144","630","573","157","37","1","26","77","97","45","69","5","6","1",".274",".329",".478",".807",".346","5.0","0.3","3.6","1177"
"Chris Carter","Astros","137","553","483","110","23","1","30","70","85","61","184","4","4","1",".228",".316",".466",".782",".342","0.0","0.0","1.7","9911"
"Josh Willingham","Royals","105","431","365","82","17","1","18","51","55","51","117","11","2","0",".225",".334",".425",".759",".336","-6.0","0.0","1.1","2103"
"Nelson Cruz","Mariners","146","612","557","139","27","1","29","68","83","45","143","5","6","4",".250",".309",".458",".767",".334","-1.0","-0.8","2.5","2434"
"John Jaso","Rays","92","316","273","69","14","2","7","36","33","35","55","5","2","1",".253",".346",".396",".742",".332","-6.0","-0.3","1.8","5887"
"Billy Butler","Athletics","156","641","573","156","30","0","15","61","82","57","100","5","1","0",".272",".340",".403",".743",".327","0.0","-0.4","1.3","7399"
"Carlos Beltran","Yankees","113","464","422","107","23","1","17","54","62","34","81","3","2","1",".254",".310",".434",".744",".327","-5.0","-0.4","0.9","589"
"Brennan Boesch","Reds","100","389","362","90","17","3","16","45","48","22","81","2","6","2",".249",".293",".445",".738",".322","-9.0","0.2","0.0","914"
"Kendrys Morales","Royals","114","467","429","112","25","0","14","47","62","31","82","4","0","0",".261",".315",".417",".732",".322","0.0","-0.4","0.6","8610"
"Raul Ibanez","Royals","93","327","295","67","13","3","13","35","44","31","73","0","2","1",".227",".300",".424",".723",".320","-7.0","-0.2","0.1","607"
"Josmil Pinto","Twins","124","495","444","109","23","1","14","57","53","45","109","3","0","1",".245",".317",".396",".714",".318","-5.0","-0.8","2.3","6806"
"Zach Walters","Indians","138","492","464","108","24","5","24","57","64","20","156","3","2","3",".233",".267",".461",".729",".317","0.0","-1.0","2.1","10622"
"Alex Rodriguez","Yankees","99","407","358","82","16","0","15","52","57","40","99","5","6","3",".229",".312",".399",".711",".316","-2.0","-0.3","1.3","1274"
"Dan Johnson","Reds","120","492","425","95","18","0","17","58","53","58","97","4","0","0",".224",".319",".386",".705",".314","-1.0","-0.4","0.7","2167"
"Adam Dunn","Athletics","123","499","426","87","15","0","21","50","66","66","155","4","1","1",".204",".315",".387",".702",".313","0.0","-0.6","0.5","319"
"Corey Hart","Pirates","103","415","378","94","20","2","11","47","46","28","82","6","3","1",".249",".309",".399",".709",".313","-5.0","-0.1","0.3","1945"
"David DeJesus","Rays","108","391","344","81","18","3","7","44","29","37","72","7","4","4",".235",".321",".366",".687",".309","2.0","-1.1","1.1","1825"
"Mike Bianucci","Angels","88","365","341","82","17","1","14","38","42","17","91","4","2","1",".240",".282",".419",".702",".308","-4.0","-0.2","0.2","sa389801"
"Delmon Young","Orioles","116","418","394","103","17","1","12","40","50","17","84","4","1","0",".261",".297",".401",".698",".308","-3.0","-0.2","0.3","2140"
"Kennys Vargas","Twins","123","521","475","114","22","1","17","57","65","37","136","4","0","1",".240",".298",".398",".695",".307","-4.0","-0.8","-0.1","12101"
"C.J. Cron","Angels","130","521","492","122","24","2","17","51","63","18","109","8","2","2",".248",".284",".409",".693",".304","0.0","-0.7","0.2","12546"
"Danny Valencia","Blue Jays","115","427","402","100","25","2","12","41","55","20","85","1","2","3",".249",".283",".410",".694",".304","-2.0","-1.0","0.9","6364"
"Ryan Doumit"," ","110","335","307","74","16","1","9","31","40","23","68","2","1","0",".241",".296",".388",".683",".301","-4.0","-0.1","-0.2","2113"
"Brandon Laird","Astros","142","564","529","130","29","1","17","61","69","24","113","5","1","0",".246",".282",".401",".683",".300","6.0","-0.2","1.9","5476"
"Steven Moya","Tigers","129","510","487","115","23","3","21","55","64","17","167","2","10","3",".236",".263",".425",".688",".299","-2.0","0.5","0.3","11854"
"Jayce Boyd","Mets","112","461","418","104","17","2","7","55","45","37","84","4","1","3",".249",".315",".349",".664",".299","0.0","-1.4","0.0","sa502020"
"Jose Pirela","Yankees","129","555","515","130","20","6","11","67","53","29","88","5","10","4",".252",".297",".379",".676",".299","-1.0","0.0","1.2","5485"
"Mike Ohlman","Orioles","101","413","376","95","23","2","4","41","34","31","96","2","2","0",".253",".311",".356",".667",".298","-6.0","0.0","1.0","sa501614"
"Josh Bell","Pirates","122","527","492","126","25","3","9","59","55","29","90","2","6","5",".256",".299",".374",".673",".298","2.0","-1.1","0.6","sa597768"
"O'Koyea Dickson","Dodgers","123","518","476","114","24","2","13","58","61","26","96","11","5","5",".239",".292",".380",".672",".298","-3.0","-1.3","-0.4","sa598761"
"Jesus Aguilar","Indians","136","555","503","117","24","0","15","61","64","42","150","5","0","0",".233",".295",".370",".665",".296","0.0","-0.5","0.2","11342"
"Chris Marrero","Nationals","105","420","387","91","17","2","11","43","46","27","94","3","0","0",".235",".288",".375",".663",".295","-3.0","-0.3","-0.5","2852"
"Allan Dykstra","Mets","109","423","357","69","13","1","11","48","41","57","151","6","1","0",".193",".312",".328",".640",".294","-2.0","-0.2","0.0","sa454379"
"Nolan Reimold","Diamondbacks","50","175","157","35","6","0","6","18","21","14","50","1","2","1",".223",".286",".376",".662",".291","0.0","-0.1","0.0","3441"
"Aledmys Diaz","Cardinals","146","567","529","129","27","3","14","61","60","17","130","9","15","6",".244",".276",".386",".662",".291","-7.0","0.3","0.7","sa803159"
"Carlos Pena","Rangers","54","203","182","39","8","0","6","23","16","19","49","2","1","1",".214",".296",".357",".653",".291","-1.0","-0.3","-0.4","934"
"Chris Dickerson","Indians","99","332","298","65","14","2","8","37","29","27","105","4","10","3",".218",".290",".359",".649",".291","-4.0","0.6","0.2","7095"
"Vince Belnome","Rays","112","460","405","91","19","1","7","51","38","51","127","1","1","1",".225",".311",".328",".639",".290","-1.0","-0.6","-0.1","8126"
"Kyeong Kang","Orioles","109","429","390","86","18","4","10","45","37","33","143","3","3","2",".221",".285",".364",".649",".289","-3.0","-0.5","-0.5","sa327822"
"Trea Turner","Padres","84","389","359","90","13","2","5","51","33","24","96","4","18","6",".251",".304",".340",".644",".289","0.0","1.0","0.9","sa599179"
"Dean Green","Tigers","106","436","406","100","19","1","8","39","42","20","93","7","1","1",".246",".291",".357",".648",".288","-1.0","-0.5","-0.5","sa526876"
"Ramon Cabrera","Pirates","123","499","460","117","23","2","4","47","41","34","60","1","2","1",".254",".305",".339",".644",".288","-5.0","-0.4","0.8","sa503033"
"Cody Decker","Padres","126","464","420","85","19","3","16","55","52","38","160","3","1","2",".202",".272",".376",".648",".288","2.0","-0.9","-0.1","sa502081"
"Joey Butler","Cardinals","101","395","351","79","15","0","7","40","29","37","120","5","2","2",".225",".306",".328",".634",".288","-7.0","-0.7","-0.5","7799"
"Charlie Cutler","Cubs","87","296","265","64","10","1","3","33","27","23","49","5","1","0",".242",".312",".321",".633",".288","-5.0","-0.1","0.6","sa454748"
"Luke Montz","Athletics","58","214","191","39","10","0","7","23","27","19","64","2","1","1",".204",".280",".366",".647",".288","-2.0","-0.3","0.4","6601"
"Jerry Sands","Rays","100","393","353","74","14","1","12","43","43","35","123","2","1","1",".210",".282",".357",".639",".287","0.0","-0.5","0.1","4016"
"Mac Williamson","Giants","66","289","262","61","12","0","5","35","27","19","75","6","5","1",".233",".298",".336",".633",".286","-1.0","0.4","0.0","sa602852"
"Jason Giambi","Indians","43","126","110","21","6","0","4","11","16","13","35","2","0","0",".191",".286",".355",".640",".286","-1.0","-0.1","-0.3","818"
"Chance Sisco","Orioles","120","501","465","113","21","2","8","50","46","29","113","5","1","2",".243",".293",".348",".642",".286","-13.0","-1.0","0.0","sa737615"
"Ryan Raburn","Indians","83","268","245","53","13","0","8","28","33","18","71","2","0","0",".216",".273",".367",".641",".284","-3.0","-0.2","-0.3","2218"
"Paul Konerko","White Sox","92","318","291","68","11","0","7","25","34","20","56","4","0","0",".234",".289",".344",".633",".283","-3.0","-0.3","-0.8","242"
"Andrew Knapp","Phillies","90","365","340","75","17","3","7","40","37","21","110","3","4","5",".221",".271",".350",".621",".277","-5.0","-1.4","0.0","sa550140"
"Lane Adams","Royals","128","541","497","110","23","3","9","57","43","35","139","5","21","6",".221",".278",".334",".612",".274","-2.0","1.5","0.3","10767"
"Billy Burns","Athletics","122","519","462","108","13","4","1","55","33","41","96","7","38","6",".234",".305",".286",".590",".271","3.0","4.8","1.2","12701"
"Edinson Rincon","Royals","83","313","294","70","15","0","4","29","25","15","67","1","1","5",".238",".277",".330",".606",".271","-4.0","-1.9","-0.6","sa397812"
"Carlos Rivero","Red Sox","122","484","450","104","19","1","7","44","39","25","125","4","2","3",".231",".275",".324",".600",".269","-1.0","-1.1","0.0","1136"
"Henry Urrutia","Orioles","83","329","316","79","13","2","3","28","27","11","76","0","1","1",".250",".274",".332",".606",".268","-3.0","-0.4","-0.9","14441"
"John Hester","Angels","77","284","260","54","11","1","6","28","22","20","81","1","1","1",".208",".265",".327",".592",".266","-2.0","-0.4","0.0","877"
"Julio Morban","Mariners","86","338","315","71","13","3","4","35","29","18","118","2","3","1",".225",".270",".324",".594",".264","-1.0","0.0","-0.6","sa503304"
"Jason Bartlett","Twins","57","225","199","43","9","1","1","25","16","20","45","1","5","2",".216",".288",".286",".575",".263","-2.0","0.0","-0.1","8219"
