"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Jose Abreu","White Sox","138","582","511","149","28","1","33","83","88","56","108","11","3","4",".292",".371",".544",".915",".395","-4.0","-1.5","4.1","15676"
"Miguel Cabrera","Tigers","152","657","578","179","39","1","31","90","113","69","105","3","3","1",".310",".382",".542",".924",".395","2.0","-0.4","5.5","1744"
"Paul Goldschmidt","Diamondbacks","139","595","509","144","36","2","28","89","95","78","140","3","14","4",".283",".378",".527",".905",".389","2.0","0.7","4.4","9218"
"Joey Votto","Reds","106","468","373","104","24","1","15","61","51","87","94","4","4","3",".279",".417",".469",".886",".387","3.0","-0.9","3.5","4314"
"Edwin Encarnacion","Blue Jays","132","559","488","132","27","1","30","76","97","64","79","4","6","1",".270",".358",".514",".872",".378","-3.0","0.3","3.4","2151"
"Anthony Rizzo","Cubs","152","651","568","153","33","2","30","91","94","70","130","10","6","5",".269",".358",".493",".851",".371","6.0","-1.3","4.2","3473"
"Freddie Freeman","Braves","156","669","580","166","36","3","22","97","91","76","138","8","3","2",".286",".374",".472",".846",".371","-1.0","-0.8","3.7","5361"
"Lucas Duda","Mets","147","562","484","126","26","1","26","75","92","64","119","9","3","1",".260",".354",".479",".833",".363","0.0","-0.3","3.2","2502"
"Adam Lind","Brewers","121","447","402","117","22","2","15","51","62","41","79","1","1","0",".291",".356",".468",".823",".360","-2.0","-0.2","1.8","8027"
"Steve Pearce","Orioles","84","297","260","68","16","0","13","35","40","30","61","4","3","1",".262",".345",".473",".818",".358","2.0","0.0","1.7","9957"
"Carlos Santana","Indians","145","619","515","128","29","1","23","73","84","96","114","3","4","2",".249",".367",".443",".809",".358","-3.0","-0.6","3.1","2396"
"Chris Davis","Orioles","136","562","493","119","23","0","34","76","96","56","176","8","3","2",".241",".326",".495",".821",".354","1.0","-0.6","2.7","9272"
"Mike Napoli","Red Sox","115","467","395","95","20","1","19","50","54","65","136","5","2","1",".241",".353",".441",".794",".352","4.0","-0.4","2.4","3057"
"Justin Morneau","Rockies","126","521","472","138","28","2","16","56","81","36","69","6","0","1",".292",".345",".462",".807",".352","3.0","-0.9","1.4","1737"
"Mark Trumbo","Diamondbacks","128","528","485","127","25","2","28","66","94","37","122","2","4","3",".262",".314",".495",".809",".350","-9.0","-0.7","1.2","6876"
"Brandon Moss","Indians","137","523","461","109","22","2","28","66","77","52","158","7","3","1",".236",".321",".475",".796",".347","-3.0","-0.2","2.1","4467"
"Adam LaRoche","White Sox","121","494","424","102","17","1","25","61","74","63","118","1","2","0",".241",".336",".462",".798",".347","1.0","0.0","2.0","1904"
"Prince Fielder","Rangers","138","592","508","133","26","0","21","62","72","70","102","10","1","1",".262",".360",".437",".797",".346","-4.0","-0.7","1.6","4613"
"Albert Pujols","Angels","144","630","573","157","37","1","26","77","97","45","69","5","6","1",".274",".329",".478",".807",".346","5.0","0.3","3.6","1177"
"Eric Hosmer","Royals","154","644","587","172","33","2","17","76","75","49","101","2","10","3",".293",".346",".443",".789",".345","-1.0","0.2","2.6","3516"
"Brandon Belt","Giants","117","428","378","98","22","2","14","56","51","44","107","4","7","3",".259",".341",".439",".780",".343","1.0","-0.1","1.9","10264"
"Chris Carter","Astros","137","553","483","110","23","1","30","70","85","61","184","4","4","1",".228",".316",".466",".782",".342","0.0","0.0","1.7","9911"
"Adrian Gonzalez","Dodgers","153","642","580","161","34","1","22","76","111","50","106","3","1","0",".278",".333",".453",".787",".341","8.0","-0.4","3.3","1908"
"Joe Mauer","Twins","128","555","485","138","29","2","7","65","61","67","94","1","3","2",".285",".371",".396",".767",".339","4.0","-0.7","2.4","1857"
"Matt Adams","Cardinals","132","501","470","132","28","2","17","54","64","25","111","2","2","1",".281",".317",".457",".775",".337","1.0","-0.4","1.7","9393"
"Yasmani Grandal","Dodgers","102","381","328","80","17","1","13","51","55","47","94","2","1","0",".244",".339",".421",".759",".336","-1.0","-0.2","2.7","11368"
"Mark Teixeira","Yankees","90","377","326","77","13","0","17","47","65","41","73","5","1","1",".236",".326",".433",".759",".334","4.0","-0.5","1.5","1281"
"Matthew Clark","Brewers","128","487","436","106","18","1","23","65","70","40","141","5","0","0",".243",".310",".447",".757",".331","-3.0","-0.4","0.7","8793"
"Kyle Blanks","Rangers","70","245","218","53","10","1","10","36","26","19","70","5","1","0",".243",".314",".436",".750",".329","-1.0","0.0","0.4","49"
"Jon Singleton","Astros","129","523","450","98","21","1","22","69","68","69","170","1","3","3",".218",".321",".416",".737",".327","-4.0","-1.0","0.9","10441"
"Matt McBride","Rockies","88","331","311","85","20","2","10","36","44","13","44","2","0","1",".273",".302",".447",".749",".326","-5.0","-0.6","-0.3","9373"
"Garrett Jones","Yankees","136","471","430","103","23","2","21","56","61","36","121","1","1","1",".240",".297",".449",".746",".325","-3.0","-0.5","0.7","2714"
"Ben Paulsen","Rockies","135","535","494","124","27","5","17","55","65","36","150","3","2","4",".251",".305",".429",".734",".321","2.0","-1.5","-0.1","9741"
"Mike Carp","Nationals","86","273","243","61","13","1","7","31","42","23","57","4","1","2",".251",".322",".399",".722",".321","-2.0","-0.8","0.1","7480"
"Maikel Franco","Phillies","151","634","603","156","34","5","23","86","82","24","101","3","2","2",".259",".289",".446",".735",".321","-6.0","-0.8","1.8","12179"
"Darin Ruf","Phillies","125","470","417","102","24","1","14","55","49","39","126","8","1","1",".245",".317",".408",".725",".321","-4.0","-0.6","0.6","9929"
"Justin Smoak","Blue Jays","133","525","466","112","24","0","18","61","68","51","115","3","0","1",".240",".316",".408",".724",".320","-3.0","-0.8","0.5","9054"
"Andy Wilkins","White Sox","137","562","520","126","27","1","24","68","75","37","136","2","2","2",".242",".294",".437",".730",".320","-2.0","-0.8","0.6","11251"
"Ike Davis","Athletics","129","441","379","83","19","0","16","50","59","58","109","1","1","3",".219",".322",".396",".718",".319","-1.0","-1.3","0.8","8433"
"Yonder Alonso","Padres","116","435","394","105","23","1","9","44","47","35","62","2","6","1",".266",".326",".398",".725",".319","3.0","0.4","1.3","2530"
"Nick Evans","Diamondbacks","86","329","301","76","16","2","10","37","40","24","75","1","1","1",".252",".307",".419",".726",".319","0.0","-0.4","0.3","7595"
