"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Anthony Rendon","Nationals","137","583","518","143","32","5","18","85","72","52","101","6","10","2",".276",".346",".461",".807",".354","3.0","0.7","4.4","12861"
"Robinson Cano","Mariners","155","663","596","178","37","2","17","80","85","56","84","7","7","2",".299",".363",".453",".817",".353","2.0","0.0","5.3","3269"
"Neil Walker","Pirates","138","573","511","136","27","3","18","72","74","47","94","9","4","3",".266",".336",".436",".773",".340","-2.0","-0.9","3.2","7539"
"Matt Carpenter","Cardinals","149","630","544","150","35","4","9","88","62","69","98","7","4","3",".276",".360",".404",".764",".340","-2.0","-1.0","3.4","8090"
"Ben Zobrist","Athletics","144","634","550","145","33","4","14","82","65","73","91","3","11","5",".264",".350",".415",".764",".338","4.0","-0.3","4.4","7435"
"Jose Altuve","Astros","156","688","639","198","39","4","8","84","57","36","70","4","43","11",".310",".347",".421",".768",".337","-6.0","3.8","3.9","5417"
"Howie Kendrick","Dodgers","145","609","561","163","29","5","11","72","73","36","97","5","12","5",".291",".337",".419",".756",".332","3.0","-0.1","3.6","4229"
"Mookie Betts","Red Sox","147","653","586","156","36","4","13","88","65","60","85","3","30","8",".266",".336",".408",".744",".332","-1.0","2.4","3.4","13611"
"Ian Kinsler","Tigers","148","675","615","167","35","4","15","88","76","45","72","7","15","7",".272",".326",".415",".741",".327","8.0","-0.3","4.2","6195"
"Rougned Odor","Rangers","149","597","555","150","25","8","17","66","70","25","113","8","15","10",".270",".309",".436",".745",".326","-3.0","-1.3","2.1","12282"
"Chase Utley","Phillies","120","507","451","117","24","5","12","64","64","40","69","10","8","1",".259",".329",".415",".744",".325","2.0","0.8","2.5","1679"
"Dustin Pedroia","Red Sox","143","642","579","161","34","1","10","75","62","55","74","2","12","6",".278",".340",".392",".732",".324","12.0","-0.5","4.1","8370"
"Scooter Gennett","Brewers","151","581","542","155","29","4","11","67","59","25","89","2","8","5",".286",".318",".415",".733",".321","-1.0","-0.8","2.0","10339"
"Brian Dozier","Twins","147","639","562","137","30","3","17","86","67","60","121","7","16","7",".244",".321",".399",".720",".320","-1.0","0.0","2.7","9810"
"Arismendy Alcantara","Cubs","153","645","594","148","34","9","19","83","79","40","171","2","25","7",".249",".297",".433",".730",".320","-2.0","1.9","2.4","10711"
"Daniel Murphy","Mets","151","643","602","172","35","3","10","84","70","34","83","2","13","4",".286",".323",".404",".727",".320","-8.0","0.5","2.1","4316"
"Jason Kipnis","Indians","144","625","554","142","28","3","13","80","68","60","122","3","25","5",".256",".330",".388",".718",".320","-5.0","2.5","2.7","9776"
"Javier Baez","Cubs","151","650","600","140","30","4","30","90","90","38","212","6","18","7",".233",".283",".447",".730",".318","-7.0","0.5","2.2","12979"
"Aaron Hill","Diamondbacks","125","518","475","125","26","3","12","57","59","33","73","5","6","5",".263",".315",".406",".721",".317","-3.0","-1.1","1.2","6104"
"Marcus Semien","Athletics","144","625","553","131","28","4","16","80","71","61","132","5","12","4",".237",".317",".389",".706",".315","-7.0","0.3","2.5","12533"
"Tommy La Stella","Cubs","114","459","408","109","22","3","4","45","46","40","50","5","5","2",".267",".337",".365",".702",".315","-2.0","-0.2","1.3","12371"
"Jordany Valdespin","Marlins","119","376","340","87","13","3","9","44","40","27","60","3","14","11",".256",".315",".391",".707",".314","-3.0","-1.7","0.8","5098"
"Derek Dietrich","Marlins","112","459","415","98","20","5","13","61","49","25","111","15","3","2",".236",".302",".402",".704",".312","-5.0","-0.5","0.9","10542"
"Kolten Wong","Cardinals","138","552","511","135","21","5","11","65","50","31","84","4","21","5",".264",".310",".389",".700",".309","5.0","1.8","2.6","12532"
"DJ LeMahieu","Rockies","152","573","531","151","23","6","5","55","48","30","90","2","14","9",".284",".323",".379",".701",".308","8.0","-1.1","1.3","9874"
"Jedd Gyorko","Padres","128","535","489","117","24","1","17","66","68","40","122","3","3","2",".239",".299",".397",".696",".308","-4.0","-0.6","1.4","10816"
"Cord Phelps","Orioles","108","440","396","97","18","3","9","50","44","39","82","2","3","4",".245",".314",".374",".688",".307","-3.0","-1.3","0.8","8631"
"Brandon Phillips","Reds","134","569","524","138","25","1","13","66","72","29","79","7","6","4",".263",".307",".389",".697",".307","5.0","-0.8","2.0","791"
"Daniel Descalso","Rockies","124","306","271","70","15","2","3","35","28","26","52","3","4","3",".258",".328",".362",".689",".306","-2.0","-0.6","0.0","8392"
"Dee Gordon","Marlins","135","567","526","148","19","9","1","78","37","33","93","3","50","15",".281",".326",".357",".684",".305","-2.0","3.8","1.7","8203"
"Donnie Murphy","Rangers","90","305","275","62","13","1","11","36","41","20","82","6","2","2",".225",".289",".400",".689",".304","-4.0","-0.6","0.2","4704"
"Jurickson Profar","Rangers","98","402","360","87","17","3","8","42","35","32","74","4","8","5",".242",".309",".372",".681",".304","1.0","-0.6","1.0","10815"
"Cristhian Adames","Rockies","131","545","493","137","22","5","3","50","43","30","97","3","13","10",".278",".321",".361",".682",".303","3.0","-1.7","0.9","6013"
"Dan Uggla","Giants","101","386","331","68","12","1","12","45","46","47","104","6","1","1",".205",".313",".356",".670",".303","-5.0","-0.5","0.4","3442"
"Jonathan Schoop","Orioles","128","468","441","105","19","0","19","55","53","16","105","7","2","1",".238",".275",".410",".686",".303","4.0","-0.3","1.7","11265"
"Alberto Callaspo","Braves","129","475","420","106","18","0","7","45","46","48","47","1","2","2",".252",".327",".345",".672",".302","-3.0","-0.8","0.8","3336"
"Corban Joseph","Yankees","84","349","316","76","17","2","7","39","32","29","59","1","1","1",".241",".305",".373",".678",".302","-4.0","-0.5","0.4","5503"
"Dilson Herrera","Mets","139","612","561","137","23","4","16","77","70","37","152","6","14","6",".244",".295",".385",".680",".301","-1.0","0.0","1.7","14335"
"Marco Scutaro","Giants","54","217","194","52","8","1","1","25","12","17","19","1","1","0",".268",".329",".335",".664",".300","-3.0","0.0","0.3","1555"
"Brian Roberts","Yankees","80","308","281","68","14","3","6","36","27","23","47","1","4","3",".242",".300",".377",".677",".300","-2.0","-0.6","0.5","166"
"Jose Pirela","Yankees","129","555","515","130","20","6","11","67","53","29","88","5","10","4",".252",".297",".379",".676",".299","-1.0","0.0","1.2","5485"
"Jeff Keppinger","White Sox","70","269","251","69","9","1","4","27","25","13","21","1","0","0",".275",".310",".367",".676",".299","-3.0","-0.3","0.3","3856"
"Jemile Weeks","Red Sox","116","496","437","108","22","6","2","56","31","44","80","5","13","4",".247",".321",".339",".660",".298","-3.0","0.6","0.8","2498"
"Rickie Weeks","Mariners","122","415","366","79","18","1","10","46","31","39","116","9","7","3",".216",".306",".352",".658",".298","-10.0","-0.1","0.1","1849"
"Cesar Hernandez","Phillies","142","529","489","131","17","8","3","58","42","32","108","1","15","10",".268",".313",".354",".667",".297","-1.0","-1.3","0.8","10556"
"Gordon Beckham","White Sox","137","528","482","118","27","0","11","60","46","31","85","7","5","1",".245",".298",".369",".667",".297","-1.0","0.2","1.0","9015"
"Cliff Pennington","Diamondbacks","99","336","302","75","13","2","4","35","22","28","63","2","7","3",".248",".315",".344",".660",".297","1.0","-0.1","0.9","3395"
"Brooks Conrad","Padres","61","214","192","42","10","1","7","28","25","18","66","1","0","1",".219",".286",".391",".677",".296","-3.0","-0.5","0.2","3664"
"Nick Franklin","Rays","135","565","504","118","23","3","11","64","53","51","134","2","10","3",".234",".305",".357",".662",".296","2.0","0.4","2.0","10166"
"Luis Sardinas","Brewers","137","569","537","149","25","4","3","59","44","21","84","4","19","9",".277",".309",".356",".664",".296","-2.0","-0.1","1.1","13153"
"Christian Colon","Royals","120","509","463","122","17","1","7","56","42","29","51","4","13","5",".263",".310",".350",".660",".295","1.0","0.2","1.3","11145"
"Joe Panik","Giants","149","642","588","155","25","5","4","75","55","43","76","4","5","3",".264",".316",".344",".660",".295","0.0","-0.8","1.7","11936"
"Omar Infante","Royals","135","558","521","140","23","4","7","53","55","26","59","1","8","3",".269",".302",".369",".671",".295","1.0","0.0","1.4","1609"
"Grant Green","Angels","121","497","467","120","25","3","8","50","53","21","103","4","5","5",".257",".292",".375",".667",".295","-1.0","-1.3","0.4","10053"
"Ryan Flaherty","Orioles","105","330","302","69","14","1","10","35","39","21","79","4","2","1",".228",".287",".381",".667",".295","1.0","-0.2","0.8","7888"
"Cole Figueroa","Rays","115","459","413","107","16","3","4","50","39","34","42","2","5","2",".259",".315",".341",".656",".295","-2.0","-0.2","0.7","8790"
"Johnny Giavotella","Angels","134","570","527","134","27","2","7","62","56","36","72","3","10","4",".254",".304",".353",".656",".292","-1.0","0.0","1.5","6740"
"Willie Bloomquist","Mariners","48","149","140","39","5","1","1","16","14","6","24","1","0","1",".279",".311",".350",".661",".292","-4.0","-0.5","0.0","1066"
"Freddy Galvis","Phillies","108","400","373","89","20","5","9","41","45","18","78","1","4","2",".239",".274",".391",".666",".291","1.0","-0.2","1.0","6609"
"Maicer Izturis","Blue Jays","65","232","213","54","10","0","3","22","14","15","27","1","5","2",".254",".304",".343",".647",".291","-2.0","0.0","0.2","2437"
"Ryan Roberts","Royals","100","366","333","78","15","1","8","38","34","28","74","1","5","4",".234",".294",".357",".651",".290","0.0","-0.8","0.6","5653"
"Tyler Pastornicky","Braves","103","359","330","86","12","3","3","39","27","21","56","1","8","4",".261",".305",".342",".648",".290","-2.0","-0.2","0.3","6777"
"Greg Garcia","Cardinals","125","479","422","98","19","3","5","52","34","40","104","10","8","4",".232",".312",".327",".639",".290","1.0","-0.4","0.9","10951"
"Logan Forsythe","Rays","105","357","317","71","12","2","7","41","30","31","82","5","6","1",".224",".301",".341",".641",".289","-3.0","0.5","0.6","7185"
"Donovan Solano","Marlins","126","437","399","103","17","2","4","41","40","24","76","5","4","1",".258",".306",".341",".646",".289","3.0","0.0","0.9","8623"
