"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Miguel Cabrera","Tigers","152","657","578","179","39","1","31","90","113","69","105","3","3","1",".310",".382",".542",".924",".395","2.0","-0.4","5.5","1744"
"Adrian Beltre","Rangers","138","579","530","159","28","1","21","70","72","40","71","4","1","1",".300",".351",".475",".826",".358","5.0","-0.7","4.5","639"
"Anthony Rendon","Nationals","137","583","518","143","32","5","18","85","72","52","101","6","10","2",".276",".346",".461",".807",".354","3.0","0.7","4.4","12861"
"Josh Donaldson","Blue Jays","147","634","566","150","33","2","26","82","91","58","124","6","7","2",".265",".338",".468",".806",".353","9.0","0.1","5.4","5038"
"Ryan Zimmerman","Nationals","109","462","414","114","24","2","15","59","70","43","85","1","3","1",".275",".342",".452",".794",".347","2.0","-0.2","2.0","4220"
"Nolan Arenado","Rockies","138","568","527","152","38","3","16","59","67","29","73","4","2","2",".288",".327",".463",".790",".344","11.0","-0.8","3.4","9777"
"Todd Frazier","Reds","151","605","546","141","26","3","25","80","84","46","129","8","13","6",".258",".323",".454",".777",".341","3.0","-0.2","3.7","785"
"Chase Headley","Yankees","139","570","501","127","25","1","20","74","73","59","145","8","9","4",".253",".340",".427",".767",".340","7.0","-0.3","4.1","4720"
"Aramis Ramirez","Brewers","108","425","389","108","19","1","14","44","61","23","65","10","2","0",".278",".332",".440",".771",".340","-4.0","0.0","1.8","1002"
"Matt Carpenter","Cardinals","149","630","544","150","35","4","9","88","62","69","98","7","4","3",".276",".360",".404",".764",".340","-2.0","-1.0","3.4","8090"
"Pablo Sandoval","Red Sox","144","588","538","150","31","3","19","70","83","39","85","4","0","1",".279",".328",".454",".782",".339","-1.0","-0.9","3.1","5409"
"Manny Machado","Orioles","123","547","509","145","31","2","16","64","54","27","87","3","5","3",".285",".323",".448",".771",".338","13.0","-0.6","4.5","11493"
"Nick Castellanos","Tigers","154","621","572","160","34","4","17","61","77","40","122","3","3","2",".280",".327",".442",".769",".337","-12.0","-0.7","2.1","11737"
"David Wright","Mets","128","558","498","137","28","3","13","67","70","52","102","4","11","5",".275",".346",".422",".768",".336","4.0","-0.2","3.7","3787"
"Justin Turner","Dodgers","111","319","290","84","18","1","5","36","37","21","50","5","4","1",".290",".346",".410",".756",".335","-2.0","0.1","1.6","5235"
"Josh Harrison","Pirates","140","482","451","128","29","7","10","66","52","18","68","6","16","6",".284",".319",".446",".764",".335","2.0","0.5","3.0","8202"
"Evan Longoria","Rays","141","609","538","137","27","2","23","76","80","58","122","6","3","1",".255",".330",".441",".771",".335","3.0","-0.3","4.2","9368"
"Kyle Seager","Mariners","156","658","593","155","31","3","21","79","88","53","116","7","9","5",".261",".327",".430",".757",".334","2.0","-0.7","4.1","9785"
"Lonnie Chisenhall","Indians","130","485","443","120","26","1","14","59","59","30","93","7","3","1",".271",".325",".429",".754",".332","-4.0","-0.2","2.4","7571"
"Eric Chavez","Diamondbacks","54","139","124","32","6","1","5","14","19","12","28","0","2","0",".258",".317",".444",".760",".329","-1.0","0.3","0.5","906"
"Trevor Plouffe","Twins","134","552","498","127","30","2","17","63","71","44","108","5","2","2",".255",".319",".426",".745",".329","-3.0","-0.8","2.4","7462"
"Pedro Alvarez","Pirates","136","523","471","109","19","2","25","57","76","48","157","2","4","1",".231",".304",".439",".744",".324","-5.0","0.0","1.9","2495"
"Xander Bogaerts","Red Sox","147","607","548","144","30","4","14","69","53","44","130","7","5","3",".263",".322",".409",".731",".323","-5.0","-0.7","2.5","12161"
"Luis Valbuena","Astros","136","504","443","106","25","2","14","60","52","55","112","2","2","3",".239",".324",".400",".724",".321","1.0","-1.2","2.3","4969"
"Maikel Franco","Phillies","151","634","603","156","34","5","23","86","82","24","101","3","2","2",".259",".289",".446",".735",".321","-6.0","-0.8","1.8","12179"
"Martin Prado","Marlins","148","625","576","161","30","3","10","67","65","39","67","4","6","3",".280",".327",".394",".721",".319","3.0","-0.5","2.7","3312"
"Mark Reynolds","Cardinals","131","479","418","91","17","0","20","57","59","54","136","4","3","2",".218",".311",".402",".713",".317","-4.0","-0.6","0.2","7619"
"Conor Gillaspie","White Sox","137","522","475","124","23","4","12","57","57","40","87","2","1","3",".261",".319",".402",".721",".317","-4.0","-1.4","1.4","9009"
"Wilmer Flores","Mets","142","570","533","142","27","4","17","73","76","25","85","3","1","2",".266",".300",".428",".728",".317","-7.0","-1.0","2.1","5827"
"Brett Lawrie","Athletics","108","450","410","104","18","2","12","48","51","30","75","7","8","3",".254",".314",".395",".709",".316","4.0","0.1","2.5","5247"
"Alex Rodriguez","Yankees","99","407","358","82","16","0","15","52","57","40","99","5","6","3",".229",".312",".399",".711",".316","-2.0","-0.3","1.3","1274"
"Cody Asche","Phillies","142","556","511","131","28","3","14","64","67","38","128","3","5","3",".256",".310",".405",".716",".315","-3.0","-0.6","1.6","11997"
"Marcus Semien","Athletics","144","625","553","131","28","4","16","80","71","61","132","5","12","4",".237",".317",".389",".706",".315","-7.0","0.3","2.5","12533"
"Jacob Lamb","Diamondbacks","110","464","422","103","26","3","13","54","54","33","129","4","3","1",".244",".302",".412",".714",".314","1.0","-0.1","1.5","13329"
"Zach Lutz","Mets","94","381","340","83","15","2","10","47","42","32","98","5","1","1",".244",".316",".388",".704",".313","-4.0","-0.5","1.0","3735"
"David Freese","Angels","133","509","457","114","22","1","11","49","58","42","119","7","1","2",".249",".320",".374",".694",".311","-5.0","-1.0","1.6","9549"
"Eric Campbell","Mets","120","416","367","92","19","1","6","47","39","40","87","5","7","2",".251",".330",".357",".687",".310","0.0","0.2","0.6","6938"
"Garin Cecchini","Red Sox","130","541","488","125","28","3","6","59","47","45","123","6","16","5",".256",".325",".363",".688",".309","-2.0","0.8","1.5","11608"
"Chris Johnson","Braves","147","577","544","147","28","2","12","50","68","26","137","3","4","0",".270",".306",".395",".701",".308","-9.0","0.3","0.8","1191"
"Scott Sizemore","Yankees","90","352","317","77","17","3","7","42","39","28","92","3","2","2",".243",".309",".382",".690",".308","-1.0","-0.7","0.8","2881"
"Josh Satin","Reds","132","506","446","106","22","1","10","58","48","55","124","2","1","3",".238",".322",".359",".681",".307","-9.0","-1.4","0.2","6788"
"Daniel Descalso","Rockies","124","306","271","70","15","2","3","35","28","26","52","3","4","3",".258",".328",".362",".689",".306","-2.0","-0.6","0.0","8392"
"Mike Moustakas","Royals","148","567","521","126","29","1","17","56","61","36","97","5","3","2",".242",".295",".399",".694",".306","3.0","-0.6","2.1","4892"
"Kelly Johnson","Braves","117","405","358","80","15","3","11","42","39","41","99","3","7","3",".223",".307",".374",".681",".305","-2.0","-0.1","0.9","2234"
"Donnie Murphy","Rangers","90","305","275","62","13","1","11","36","41","20","82","6","2","2",".225",".289",".400",".689",".304","-4.0","-0.6","0.2","4704"
"Danny Valencia","Blue Jays","115","427","402","100","25","2","12","41","55","20","85","1","2","3",".249",".283",".410",".694",".304","-2.0","-1.0","0.9","6364"
"Luis Jimenez","Brewers","124","505","476","123","28","2","13","56","58","17","84","4","10","4",".258",".287",".408",".694",".304","-2.0","0.1","0.9","6341"
"Casey McGehee","Giants","136","543","488","126","25","1","7","49","61","48","102","1","2","2",".258",".322",".357",".679",".303","-1.0","-0.9","1.6","6086"
"Juan Uribe","Dodgers","97","343","322","84","16","1","8","33","48","16","69","2","1","1",".261",".298",".391",".690",".303","12.0","-0.5","2.3","454"
"Alberto Callaspo","Braves","129","475","420","106","18","0","7","45","46","48","47","1","2","2",".252",".327",".345",".672",".302","-3.0","-0.8","0.8","3336"
"Charlie Culberson","Rockies","127","438","411","105","21","4","10","47","59","17","97","4","9","5",".255",".290",".399",".689",".302","1.0","-0.4","0.3","3298"
"Rafael Ynoa","Rockies","131","543","501","134","27","4","4","55","49","34","90","1","10","8",".267",".314",".361",".675",".301","1.0","-1.5","0.2","2832"
"Yangervis Solarte","Padres","136","572","519","135","25","1","8","60","47","42","59","3","1","1",".260",".316",".358",".674",".301","1.0","-0.7","1.8","5352"
"Brock Holt","Red Sox","137","581","529","141","25","5","4","69","43","38","103","4","14","6",".267",".318",".355",".673",".301","0.0","0.0","1.4","9345"
"Mike Olt","Cubs","114","423","375","78","17","1","16","44","49","41","138","3","2","1",".208",".288",".387",".675",".300","0.0","-0.3","0.8","10698"
"Zelous Wheeler","Yankees","112","431","395","94","19","1","11","47","43","27","89","6","3","1",".238",".295",".375",".670",".299","-1.0","-0.1","0.9","8822"
